[417, 204]
[341, 25]
[439, 259]
[291, 335]
[432, 271]
[416, 297]
[294, 109]
[48, 102]
[343, 246]
[534, 253]
[245, 36]
[533, 240]
[205, 271]
[219, 264]
[368, 193]
[436, 79]
[376, 194]
[387, 196]
[113, 34]
[341, 36]
[441, 266]
[430, 260]
[418, 287]
[301, 104]
[588, 306]
[55, 99]
[285, 104]
[26, 356]
[211, 357]
[341, 263]
[538, 260]
[541, 270]
[245, 46]
[253, 34]
[257, 27]
[539, 233]
[52, 232]
[202, 278]
[59, 228]
[27, 270]
[212, 270]
[36, 268]
[393, 201]
[92, 270]
[277, 268]
[421, 218]
[331, 27]
[103, 25]
[562, 34]
[342, 46]
[565, 46]
[429, 248]
[421, 271]
[99, 349]
[318, 233]
[91, 352]
[277, 350]
[408, 293]
[478, 93]
[312, 110]
[308, 97]
[600, 298]
[61, 96]
[230, 355]
[568, 309]
[35, 355]
[47, 92]
[279, 98]
[502, 98]
[210, 348]
[348, 270]
[178, 126]
[354, 245]
[58, 84]
[503, 87]
[250, 55]
[412, 54]
[292, 331]
[412, 44]
[541, 247]
[253, 43]
[451, 169]
[201, 286]
[480, 27]
[211, 279]
[265, 25]
[25, 278]
[550, 232]
[227, 271]
[44, 270]
[381, 202]
[83, 271]
[268, 269]
[96, 277]
[282, 275]
[330, 34]
[94, 311]
[339, 55]
[93, 322]
[91, 331]
[284, 342]
[606, 293]
[591, 295]
[44, 354]
[219, 349]
[272, 92]
[550, 275]
[70, 78]
[265, 45]
[551, 242]
[29, 289]
[221, 280]
[421, 240]
[50, 78]
[512, 85]
[215, 312]
[441, 219]
[545, 256]
[211, 298]
[452, 177]
[480, 35]
[135, 63]
[457, 164]
[488, 26]
[481, 128]
[557, 232]
[135, 113]
[253, 97]
[253, 177]
[143, 118]
[261, 95]
[369, 207]
[378, 209]
[49, 275]
[388, 209]
[259, 273]
[288, 161]
[491, 167]
[298, 170]
[401, 215]
[497, 181]
[305, 174]
[409, 221]
[285, 282]
[335, 43]
[85, 337]
[122, 82]
[486, 79]
[316, 224]
[478, 83]
[511, 251]
[610, 285]
[305, 245]
[509, 265]
[503, 253]
[266, 344]
[192, 83]
[181, 82]
[261, 249]
[560, 303]
[26, 346]
[214, 339]
[500, 80]
[215, 328]
[444, 232]
[590, 262]
[66, 55]
[201, 52]
[30, 187]
[72, 333]
[222, 289]
[39, 283]
[324, 56]
[276, 332]
[366, 268]
[259, 59]
[357, 252]
[445, 212]
[220, 297]
[489, 34]
[254, 106]
[135, 122]
[235, 278]
[257, 170]
[387, 318]
[152, 118]
[274, 170]
[160, 120]
[280, 177]
[482, 181]
[489, 183]
[502, 187]
[417, 227]
[81, 295]
[439, 143]
[554, 41]
[433, 365]
[565, 66]
[552, 72]
[193, 298]
[310, 237]
[471, 82]
[296, 240]
[463, 85]
[495, 254]
[386, 286]
[270, 245]
[289, 87]
[229, 345]
[254, 243]
[254, 161]
[249, 237]
[449, 238]
[420, 65]
[44, 149]
[31, 191]
[535, 161]
[387, 251]
[411, 189]
[278, 36]
[462, 30]
[537, 64]
[256, 188]
[231, 287]
[182, 243]
[141, 286]
[221, 306]
[265, 54]
[451, 207]
[138, 134]
[261, 105]
[263, 184]
[149, 128]
[242, 283]
[270, 102]
[273, 180]
[395, 318]
[476, 186]
[165, 126]
[290, 176]
[259, 284]
[72, 283]
[549, 26]
[82, 306]
[549, 34]
[194, 256]
[83, 318]
[427, 370]
[511, 238]
[501, 243]
[302, 235]
[54, 344]
[448, 300]
[47, 192]
[280, 209]
[164, 155]
[251, 308]
[325, 355]
[402, 348]
[100, 45]
[449, 43]
[482, 266]
[304, 54]
[577, 260]
[50, 317]
[483, 219]
[50, 42]
[167, 42]
[159, 266]
[432, 331]
[259, 120]
[501, 28]
[391, 63]
[485, 44]
[483, 146]
[25, 97]
[162, 65]
[538, 139]
[239, 77]
[67, 153]
[518, 82]
[266, 162]
[500, 37]
[513, 44]
[276, 129]
[62, 242]
[212, 45]
[379, 51]
[30, 123]
[538, 151]
[575, 336]
[82, 252]
[85, 245]
[401, 167]
[575, 325]
[152, 67]
[578, 34]
[456, 246]
[167, 70]
[135, 240]
[591, 134]
[136, 248]
[404, 227]
[494, 112]
[486, 287]
[181, 119]
[611, 266]
[516, 186]
[602, 265]
[186, 62]
[110, 56]
[542, 164]
[543, 156]
[135, 31]
[252, 356]
[69, 357]
[457, 53]
[574, 146]
[434, 169]
[514, 145]
[42, 224]
[590, 246]
[160, 83]
[477, 113]
[585, 332]
[38, 118]
[126, 248]
[377, 266]
[419, 348]
[55, 36]
[57, 26]
[555, 270]
[415, 177]
[272, 45]
[423, 172]
[230, 300]
[452, 253]
[144, 142]
[284, 41]
[385, 339]
[585, 38]
[431, 275]
[463, 248]
[55, 147]
[231, 32]
[434, 286]
[386, 29]
[600, 273]
[398, 233]
[387, 39]
[601, 282]
[66, 191]
[191, 57]
[181, 57]
[268, 84]
[409, 324]
[280, 371]
[33, 131]
[99, 261]
[391, 265]
[422, 348]
[435, 346]
[595, 340]
[353, 37]
[337, 351]
[387, 355]
[588, 53]
[51, 288]
[167, 92]
[460, 267]
[47, 161]
[306, 352]
[88, 35]
[474, 137]
[64, 131]
[192, 42]
[239, 336]
[34, 257]
[564, 368]
[181, 264]
[322, 238]
[440, 286]
[323, 248]
[443, 28]
[389, 226]
[590, 279]
[547, 49]
[279, 78]
[103, 285]
[161, 145]
[211, 250]
[272, 194]
[289, 32]
[281, 66]
[250, 292]
[492, 154]
[255, 208]
[25, 219]
[77, 38]
[139, 147]
[425, 290]
[289, 115]
[454, 124]
[149, 148]
[605, 346]
[471, 203]
[529, 43]
[451, 184]
[456, 194]
[292, 228]
[53, 333]
[245, 70]
[444, 327]
[110, 299]
[278, 139]
[330, 371]
[124, 49]
[49, 304]
[138, 42]
[223, 254]
[256, 300]
[283, 199]
[561, 290]
[360, 236]
[170, 141]
[293, 69]
[420, 186]
[286, 127]
[504, 157]
[507, 53]
[138, 157]
[148, 158]
[428, 302]
[522, 271]
[81, 356]
[83, 46]
